"";"codigo_ibge";"tax";"ANO";"UF";"Codmun7";"Município";"ESPVIDA";"FECTOT";"RAZDEP";"E_ANOSESTUDO";"T_ANALF18M";"T_FBBAS";"T_FBFUND";"T_FBMED";"T_FBSUPER";"T_MED18M";"T_SUPER25M";"GINI";"PIND";"PPOB";"RDPC1";"RDPCT";"THEIL";"T_BANAGUA";"T_DENS";"T_LIXO";"T_LUZ";"AGUA_ESGOTO";"T_M10A14CF";"T_M15A17CF";"I_ESCOLARIDADE";"IDHM";"IDHM_E";"IDHM_L";"IDHM_R"
"1";110001;0,5782;2010;11;1100015;"ALTA FLORESTA D'OESTE";70,75;2,24;47,37;8,67;13;90,45;107,69;45,99;21,23;23,19;5,51;0,58;14,29;47,12;36,89;512,46;0,6;80,2;22,58;94,05;93,98;9,31;0;6,75;0,368;0,641;0,526;0,763;0,657
"2";110002;0,6263;2010;11;1100023;"ARIQUEMES";73,36;1,91;46,68;9,18;8,53;94,78;106,62;58,77;27,95;34,58;8,13;0,53;4,36;29,04;120,08;698,01;0,51;85,35;27,15;96,72;98,58;11,4;0;9,1;0,514;0,702;0,6;0,806;0,716
"3";110003;0,6758;2010;11;1100031;"CABIXI";70,39;2,15;48,12;10,09;14,73;97,65;109,08;68,27;22,04;23,89;4,93;0,51;7,27;46,98;78,16;468,09;0,44;91,63;19,93;99,14;96,36;3,31;1,12;5,47;0,357;0,65;0,559;0,757;0,65
"4";110004;0,5995;2010;11;1100049;"CACOAL";74,27;1,9;43,79;9,74;8,94;100,81;108,09;80,94;38,23;31,03;8,71;0,57;5,97;29,82;108,24;750,2;0,61;93,44;20,5;98,17;98,89;1,85;0,68;6,03;0,488;0,718;0,62;0,821;0,727
"5";110005;0,6097;2010;11;1100056;"CEREJEIRAS";72,94;2,12;45,67;10,22;11,17;92,48;105,56;57,67;20,94;27,79;7,09;0,5;4,72;34,85;104,82;581,57;0,46;86,87;16,66;91,89;98,85;5,34;0;1,77;0,43;0,692;0,602;0,799;0,688
"6";110006;0,5296;2010;11;1100064;"COLORADO DO OESTE";73,81;1,89;45,82;10,4;13,41;95,41;107,99;64,95;41,96;28,61;7,88;0,49;6,64;37,11;90,64;545,28;0,45;93,89;14,73;92,79;97,76;2,99;0;10,04;0,426;0,685;0,584;0,814;0,676
"7";110007;0,7021;2010;11;1100072;"CORUMBIARA";71,45;2,29;46,32;9,82;13,55;85,59;103,48;42,49;10,23;14,82;4,52;0,48;10,16;46,42;60,59;414,1;0,43;86,43;14,46;90,19;97,81;6,31;0;5,58;0,316;0,613;0,473;0,774;0,63
"8";110008;0,8009;2010;11;1100080;"COSTA MARQUES";70,04;2,72;60,13;9,22;9,39;89,43;108,71;32,48;19,67;21,1;4,98;0,52;9,66;55,8;61,31;378,98;0,48;54,32;36,18;79,35;90,13;36,41;0;18,02;0,379;0,611;0,493;0,751;0,616
"9";110009;0,5452;2010;11;1100098;"ESPIGÃO D'OESTE";74,15;2,22;46,83;9,55;12,18;97,47;106,42;71,24;18,67;21,77;5,72;0,52;6,6;35,08;97,48;606,09;0,48;84,71;19,97;91,07;96,7;7,66;1,59;7,73;0,402;0,672;0,536;0,819;0,691
"10";110010;0,598;2010;11;1100106;"GUAJARÁ-MIRIM";74,39;2,61;56,67;8,17;8,7;96,87;107,88;61,7;17,32;29,86;7,06;0,54;10,38;43,92;59,89;517,03;0,51;49,32;43,4;90,41;97,71;36,84;0;10,53;0,486;0,657;0,519;0,823;0,663
"11";110011;0,566;2010;11;1100114;"JARU";74,51;2,11;47,49;9,42;11,49;103,55;116,6;67,74;20,09;27,45;6,94;0,49;4,32;32,12;110,02;579,75;0,44;82,81;19,09;95,04;99,4;15,11;0;8,24;0,43;0,689;0,577;0,825;0,687
"12";110012;0,5332;2010;11;1100122;"JI-PARANÁ";73,6;2,26;43,98;9,95;8,38;97,29;109,08;67,27;27,38;36,2;8,73;0,53;2,67;26,26;142,5;747,05;0,52;89,31;23,3;95,36;99,35;5,87;0,25;5;0,532;0,714;0,617;0,81;0,728
"13";110013;0,7349;2010;11;1100130;"MACHADINHO D'OESTE";70,32;2,54;52,55;7,8;12,85;88,96;107,6;33,72;13,65;16,97;3,72;0,55;17,59;51,72;28,18;434,33;0,52;69,34;28,87;91,21;88,1;17,19;0,6;10,67;0,32;0,596;0,446;0,755;0,629
"14";110014;0,7037;2010;11;1100148;"NOVA BRASILÂNDIA D'OESTE";70,75;2,03;46,8;9,44;12,31;98,15;111,77;64,58;13,63;21,48;4,76;0,56;10,3;46,94;61,41;513,49;0,57;74,6;20,31;94,84;94,95;9,6;0;5,69;0,364;0,643;0,524;0,763;0,664
"15";110015;0,6152;2010;11;1100155;"OURO PRETO DO OESTE";73,72;1,86;46,08;9,17;11,18;96,98;113,57;51,96;21,9;26,8;6,2;0,48;3,71;30,04;122,28;584,3;0,4;91,58;17,02;96,79;99,13;5,61;0,32;6,1;0,433;0,682;0,569;0,812;0,687
"16";110018;0,5534;2010;11;1100189;"PIMENTA BUENO";73,15;2,18;45,13;9,08;9,04;92,1;107,93;50,76;26,56;32,32;8,07;0,54;2,29;25,37;142,61;739,7;0,52;91,07;21,55;97,98;99;4,7;0;7,8;0,496;0,71;0,613;0,803;0,726
"17";110020;0,6343;2010;11;1100205;"PORTO VELHO";74,14;2,13;42,97;8,99;5,43;96,9;111,14;57,31;33,41;44,44;12,21;0,56;2,64;21,78;152,66;936,28;0,56;72,14;36,73;95,67;98,2;17,76;1,05;8,04;0,619;0,736;0,638;0,819;0,764
