"";"EQM";"ests"
"10";0,00661720242263742;10
"20";0,00663245733603735;20
"30";0,00660856280026225;30
"40";0,00662999871839112;40
"50";0,006628820007221;50
"60";0,00661298275976587;60
"70";0,00662605757781545;70
"80";0,00662255923378448;80
"90";0,00662471443160594;90
"100";0,006609552613939;100
"110";0,00662333891153524;110
"120";0,0066247494745746;120
"130";0,00662225567413534;130
"140";0,00661709336635472;140
"150";0,00661431772221968;150
"160";0,00662762338145445;160
"170";0,00662796165362755;170
"180";0,00661682055888629;180
"190";0,00661675456626143;190
"200";0,00662052071607424;200
"210";0,00661765196465304;210
"220";0,00661749012492602;220
"230";0,00661825307982225;230
"240";0,00662449533365739;240
"250";0,00661764833551558;250
"260";0,00662741097989685;260
"270";0,00662177366895553;270
"280";0,00662831089173854;280
"290";0,00661847859234404;290
"300";0,00661918684052345;300
"310";0,00661894489883759;310
"320";0,00662611873019392;320
"330";0,00661844967705714;330
"340";0,0066194972309359;340
"350";0,00661726483680718;350
"360";0,00661618544654135;360
"370";0,00661785600670173;370
"380";0,0066184656215271;380
"390";0,00662251683782567;390
"400";0,00662213111423542;400
"410";0,00662247342222672;410
"420";0,00661841795957974;420
"430";0,00662144435816511;430
"440";0,0066199750375059;440
"450";0,00661985205473905;450
"460";0,00662190862395338;460
"470";0,00662152555509713;470
"480";0,00661924195749528;480
"490";0,00661981944268674;490
"500";0,0066171386038287;500
"510";0,0066135355786623;510
"520";0,00662010783891522;520
"530";0,00661806276017708;530
"540";0,00661885393171836;540
"550";0,00662083616329537;550
"560";0,00662031212129345;560
"570";0,00661774445785897;570
"580";0,00661559563531396;580
"590";0,00662444313623383;590
"600";0,0066227894230517;600
"610";0,00661698371409946;610
"620";0,00662014637796174;620
"630";0,00661746952870537;630
"640";0,00662057026548919;640
"650";0,00661911080033718;650
"660";0,0066198275095988;660
"670";0,00661904863528699;670
"680";0,00662140618366651;680
"690";0,00662147835712139;690
"700";0,00661779289141717;700
"710";0,00661748977894855;710
"720";0,00662107234924651;720
"730";0,00661800574086643;730
"740";0,00662133159490428;740
"750";0,00662182681197049;750
"760";0,00662062605203994;760
"770";0,00661668330165129;770
"780";0,00661821718410483;780
"790";0,00662332826685454;790
"800";0,00662185239103869;800
